model,dataset,method,n,judge_correct,judge_acc_pct,judge_errors,local_em_pct
q3_14b,2wiki,consensus,500,406,81.2,0,82.0
q3_14b,2wiki,cot,500,400,80.0,0,80.0
q3_14b,2wiki,dmad,500,385,77.0,0,77.4
q3_14b,2wiki,mad,500,402,80.4,0,81.2
q3_14b,2wiki,sc,500,399,79.8,0,81.0
q3_14b,hotpotqa,consensus,500,413,82.6,0,74.4
q3_14b,hotpotqa,cot,500,414,82.8,0,74.0
q3_14b,hotpotqa,dmad,500,381,76.2,0,68.8
q3_14b,hotpotqa,mad,500,409,81.8,0,72.8
q3_14b,hotpotqa,sc,500,415,83.0,0,74.4
q3_14b,musique,consensus,500,295,59.0,0,61.0
q3_14b,musique,cot,500,285,57.0,0,59.0
q3_14b,musique,dmad,500,231,46.2,0,50.2
q3_14b,musique,mad,500,296,59.2,0,61.2
q3_14b,musique,sc,500,283,56.6,0,58.8
q3_14b,strategyqa,consensus,500,447,89.4,0,89.4
q3_14b,strategyqa,cot,500,465,93.0,0,93.0
q3_14b,strategyqa,dmad,500,341,68.2,0,68.8
q3_14b,strategyqa,mad,500,435,87.0,0,87.0
q3_14b,strategyqa,sc,500,460,92.0,0,92.0
q3_4b,2wiki,consensus,500,381,76.2,0,75.2
q3_4b,2wiki,cot,500,362,72.4,0,72.0
q3_4b,2wiki,dmad,500,358,71.6,0,71.4
q3_4b,2wiki,mad,500,376,75.2,0,74.2
q3_4b,2wiki,sc,500,356,71.2,0,70.8
q3_4b,hotpotqa,consensus,500,393,78.6,0,69.0
q3_4b,hotpotqa,cot,500,392,78.4,0,68.0
q3_4b,hotpotqa,dmad,500,390,78.0,0,67.8
q3_4b,hotpotqa,mad,500,397,79.4,0,69.6
q3_4b,hotpotqa,sc,500,400,80.0,0,69.4
q3_4b,musique,consensus,500,289,57.8,0,58.4
q3_4b,musique,cot,500,262,52.4,0,53.8
q3_4b,musique,dmad,500,261,52.2,0,52.6
q3_4b,musique,mad,500,276,55.2,0,57.6
q3_4b,musique,sc,500,261,52.2,0,53.8
q3_4b,strategyqa,consensus,500,438,87.6,0,87.6
q3_4b,strategyqa,cot,500,453,90.6,0,90.6
q3_4b,strategyqa,dmad,500,378,75.6,0,75.6
q3_4b,strategyqa,mad,500,407,81.4,0,81.2
q3_4b,strategyqa,sc,500,454,90.8,0,90.8
q3_8b,2wiki,consensus,500,401,80.2,0,79.8
q3_8b,2wiki,cot,500,398,79.6,0,79.0
q3_8b,2wiki,dmad,500,366,73.2,0,73.2
q3_8b,2wiki,mad,500,393,78.6,0,77.8
q3_8b,2wiki,sc,500,382,76.4,0,76.2
q3_8b,hotpotqa,consensus,500,398,79.6,0,70.0
q3_8b,hotpotqa,cot,500,395,79.0,0,69.0
q3_8b,hotpotqa,dmad,500,362,72.4,0,64.4
q3_8b,hotpotqa,mad,500,395,79.0,0,68.6
q3_8b,hotpotqa,sc,500,404,80.8,0,70.4
q3_8b,musique,consensus,500,295,59.0,0,60.4
q3_8b,musique,cot,500,273,54.6,0,57.4
q3_8b,musique,dmad,500,239,47.8,0,49.8
q3_8b,musique,mad,500,288,57.6,0,59.0
q3_8b,musique,sc,500,279,55.8,0,58.6
q3_8b,strategyqa,consensus,500,454,90.8,0,90.8
q3_8b,strategyqa,cot,500,459,91.8,0,91.6
q3_8b,strategyqa,dmad,500,342,68.4,0,68.4
q3_8b,strategyqa,mad,500,440,88.0,0,88.0
q3_8b,strategyqa,sc,500,457,91.4,0,91.4
q3_14b,Macro,consensus,2000,1561,78.05,0,76.7
q3_14b,Macro,cot,2000,1564,78.2,0,76.5
q3_14b,Macro,dmad,2000,1338,66.9,0,66.3
q3_14b,Macro,mad,2000,1542,77.1,0,75.55
q3_14b,Macro,sc,2000,1557,77.85,0,76.55
q3_4b,Macro,consensus,2000,1501,75.05,0,72.55
q3_4b,Macro,cot,2000,1469,73.45,0,71.1
q3_4b,Macro,dmad,2000,1387,69.35,0,66.85
q3_4b,Macro,mad,2000,1456,72.8,0,70.65
q3_4b,Macro,sc,2000,1471,73.55,0,71.2
q3_8b,Macro,consensus,2000,1548,77.4,0,75.25
q3_8b,Macro,cot,2000,1525,76.25,0,74.25
q3_8b,Macro,dmad,2000,1309,65.45,0,63.95
q3_8b,Macro,mad,2000,1516,75.8,0,73.35
q3_8b,Macro,sc,2000,1522,76.1,0,74.15
