model_tag,model,dataset,context,n,judge_acc_pct,judge_correct,path
q25_14b,Qwen2.5-14B,2wiki,full,500,81.4,407,analysis/ldt/v3/v35_500_q25_14b_q32judge.jsonl
q25_14b,Qwen2.5-14B,2wiki,gold,500,82.8,414,analysis/ldt/v3/v35_500_q25_14b_q32judge.jsonl
q25_14b,Qwen2.5-14B,hotpotqa,full,500,81.2,406,analysis/ldt/v3/v35_500_q25_14b_q32judge.jsonl
q25_14b,Qwen2.5-14B,hotpotqa,gold,500,83.8,419,analysis/ldt/v3/v35_500_q25_14b_q32judge.jsonl
q25_14b,Qwen2.5-14B,musique,full,500,58.4,292,analysis/ldt/v3/v35_500_q25_14b_q32judge.jsonl
q25_14b,Qwen2.5-14B,musique,gold,500,68.4,342,analysis/ldt/v3/v35_500_q25_14b_q32judge.jsonl
q25_14b,Qwen2.5-14B,strategyqa,full,500,94.0,470,analysis/ldt/v3/v35_500_q25_14b_q32judge.jsonl
q25_14b,Qwen2.5-14B,strategyqa,gold,500,94.0,470,analysis/ldt/v3/v35_500_q25_14b_q32judge.jsonl
q35_9b,Qwen3.5-9B,2wiki,full,500,82.2,411,analysis/ldt/v3/v35_500_q35_9b_q32judge.jsonl
q35_9b,Qwen3.5-9B,2wiki,gold,500,82.0,410,analysis/ldt/v3/v35_500_q35_9b_q32judge.jsonl
q35_9b,Qwen3.5-9B,hotpotqa,full,500,83.4,417,analysis/ldt/v3/v35_500_q35_9b_q32judge.jsonl
q35_9b,Qwen3.5-9B,hotpotqa,gold,500,86.0,430,analysis/ldt/v3/v35_500_q35_9b_q32judge.jsonl
q35_9b,Qwen3.5-9B,musique,full,500,65.2,326,analysis/ldt/v3/v35_500_q35_9b_q32judge.jsonl
q35_9b,Qwen3.5-9B,musique,gold,500,71.8,359,analysis/ldt/v3/v35_500_q35_9b_q32judge.jsonl
q35_9b,Qwen3.5-9B,strategyqa,full,500,95.8,479,analysis/ldt/v3/v35_500_q35_9b_q32judge.jsonl
q35_9b,Qwen3.5-9B,strategyqa,gold,500,95.8,479,analysis/ldt/v3/v35_500_q35_9b_q32judge.jsonl
q3_8b,Qwen3-8B,2wiki,full,500,83.2,416,analysis/ldt/v3/v35_500_q3_8b_q32judge.jsonl
q3_8b,Qwen3-8B,2wiki,gold,500,83.2,416,analysis/ldt/v3/v35_500_q3_8b_q32judge.jsonl
q3_8b,Qwen3-8B,hotpotqa,full,500,80.8,404,analysis/ldt/v3/v35_500_q3_8b_q32judge.jsonl
q3_8b,Qwen3-8B,hotpotqa,gold,500,84.8,424,analysis/ldt/v3/v35_500_q3_8b_q32judge.jsonl
q3_8b,Qwen3-8B,musique,full,500,58.8,294,analysis/ldt/v3/v35_500_q3_8b_q32judge.jsonl
q3_8b,Qwen3-8B,musique,gold,500,71.2,356,analysis/ldt/v3/v35_500_q3_8b_q32judge.jsonl
q3_8b,Qwen3-8B,strategyqa,full,500,93.0,465,analysis/ldt/v3/v35_500_q3_8b_q32judge.jsonl
q3_8b,Qwen3-8B,strategyqa,gold,500,93.0,465,analysis/ldt/v3/v35_500_q3_8b_q32judge.jsonl
q25_14b,Qwen2.5-14B,macro,full,2000,78.75,1575,
q25_14b,Qwen2.5-14B,macro,gold,2000,82.25,1645,
q35_9b,Qwen3.5-9B,macro,full,2000,81.65,1633,
q35_9b,Qwen3.5-9B,macro,gold,2000,83.9,1678,
q3_8b,Qwen3-8B,macro,full,2000,78.95,1579,
q3_8b,Qwen3-8B,macro,gold,2000,83.05,1661,
