model_tag,model,dataset,context,n,em_pct,f1_pct,calls,prompt_tokens,completion_tokens,path
q25_14b,Qwen2.5-14B,2wiki,full,500,82.2,75.012,7.986,11309.8,2375.4,results/ldt/v3/2wiki_ldtv3_v3_v35_500_q25_14b_full.jsonl
q25_14b,Qwen2.5-14B,2wiki,gold,500,82.0,75.803,7.624,5963.7,2170.9,results/ldt/v3/2wiki_ldtv3_v3_v35_500_q25_14b_gold.jsonl
q35_9b,Qwen3.5-9B,2wiki,full,500,83.8,77.813,7.074,10422.9,2031.6,results/ldt/v3/2wiki_ldtv3_v3_v35_500_q35_9b_full.jsonl
q35_9b,Qwen3.5-9B,2wiki,gold,500,84.2,79.078,6.822,5707.5,1858.5,results/ldt/v3/2wiki_ldtv3_v3_v35_500_q35_9b_gold.jsonl
q3_8b,Qwen3-8B,2wiki,full,500,83.2,78.591,8.43,12067.5,2340.3,results/ldt/v3/2wiki_ldtv3_v3_v35_500_q3_8b_full.jsonl
q3_8b,Qwen3-8B,2wiki,gold,500,83.8,79.514,8.202,6614.8,2166.9,results/ldt/v3/2wiki_ldtv3_v3_v35_500_q3_8b_gold.jsonl
q25_14b,Qwen2.5-14B,hotpotqa,full,500,72.8,73.987,8.612,15718.5,2505.8,results/ldt/v3/hotpotqa_ldtv3_v3_v35_500_q25_14b_full.jsonl
q25_14b,Qwen2.5-14B,hotpotqa,gold,500,75.6,77.859,7.91,4707.3,2255.0,results/ldt/v3/hotpotqa_ldtv3_v3_v35_500_q25_14b_gold.jsonl
q35_9b,Qwen3.5-9B,hotpotqa,full,500,75.4,80.08,7.034,13138.0,2055.8,results/ldt/v3/hotpotqa_ldtv3_v3_v35_500_q35_9b_full.jsonl
q35_9b,Qwen3.5-9B,hotpotqa,gold,500,77.4,82.615,6.658,4212.6,1677.6,results/ldt/v3/hotpotqa_ldtv3_v3_v35_500_q35_9b_gold.jsonl
q3_8b,Qwen3-8B,hotpotqa,full,500,72.4,77.769,8.58,15389.0,2304.3,results/ldt/v3/hotpotqa_ldtv3_v3_v35_500_q3_8b_full.jsonl
q3_8b,Qwen3-8B,hotpotqa,gold,500,76.6,81.508,8.42,4877.9,2031.5,results/ldt/v3/hotpotqa_ldtv3_v3_v35_500_q3_8b_gold.jsonl
q25_14b,Qwen2.5-14B,musique,full,500,62.6,58.552,11.02,30540.2,2895.6,results/ldt/v3/musique_ldtv3_v3_v35_500_q25_14b_full.jsonl
q25_14b,Qwen2.5-14B,musique,gold,500,71.4,69.862,9.924,6136.4,2590.9,results/ldt/v3/musique_ldtv3_v3_v35_500_q25_14b_gold.jsonl
q35_9b,Qwen3.5-9B,musique,full,500,72.8,70.677,9.352,26845.8,2811.5,results/ldt/v3/musique_ldtv3_v3_v35_500_q35_9b_full.jsonl
q35_9b,Qwen3.5-9B,musique,gold,500,78.4,76.92,8.526,5899.0,2325.0,results/ldt/v3/musique_ldtv3_v3_v35_500_q35_9b_gold.jsonl
q3_8b,Qwen3-8B,musique,full,500,64.0,63.856,12.276,33746.2,3209.0,results/ldt/v3/musique_ldtv3_v3_v35_500_q3_8b_full.jsonl
q3_8b,Qwen3-8B,musique,gold,500,74.4,74.892,10.798,6663.7,2668.7,results/ldt/v3/musique_ldtv3_v3_v35_500_q3_8b_gold.jsonl
q25_14b,Qwen2.5-14B,strategyqa,full,500,94.0,94.0,6.306,2507.4,2130.9,results/ldt/v3/strategyqa_ldtv3_v3_v35_500_q25_14b_full.jsonl
q25_14b,Qwen2.5-14B,strategyqa,gold,500,94.0,94.0,6.306,2507.4,2130.9,results/ldt/v3/strategyqa_ldtv3_v3_v35_500_q25_14b_gold.jsonl
q35_9b,Qwen3.5-9B,strategyqa,full,500,95.8,95.667,6.612,2945.5,2073.6,results/ldt/v3/strategyqa_ldtv3_v3_v35_500_q35_9b_full.jsonl
q35_9b,Qwen3.5-9B,strategyqa,gold,500,95.8,95.667,6.612,2945.5,2073.6,results/ldt/v3/strategyqa_ldtv3_v3_v35_500_q35_9b_gold.jsonl
q3_8b,Qwen3-8B,strategyqa,full,500,93.0,93.0,6.828,2695.2,1942.3,results/ldt/v3/strategyqa_ldtv3_v3_v35_500_q3_8b_full.jsonl
q3_8b,Qwen3-8B,strategyqa,gold,500,93.0,93.0,6.828,2695.2,1942.3,results/ldt/v3/strategyqa_ldtv3_v3_v35_500_q3_8b_gold.jsonl
q25_14b,Qwen2.5-14B,macro,full,2000,77.9,75.388,8.481,15019.0,2476.9,
q25_14b,Qwen2.5-14B,macro,gold,2000,80.75,79.381,7.941,4828.7,2286.9,
q35_9b,Qwen3.5-9B,macro,full,2000,81.95,81.059,7.518,13338.0,2243.1,
q35_9b,Qwen3.5-9B,macro,gold,2000,83.95,83.57,7.155,4691.1,1983.7,
q3_8b,Qwen3-8B,macro,full,2000,78.15,78.304,9.028,15974.5,2449.0,
q3_8b,Qwen3-8B,macro,gold,2000,81.95,82.228,8.562,5212.9,2202.3,
