model,dataset,n,local_em_pct,full_tree_em_proxy_pct,final_changed_from_full_pct,changed_cases_correct_pct,evidence_plans_pct,resolved_plan_pct,plan_validation_pct,plan_supported_pct,focused_evidence_context_pct,focused_contract_context_pct,all_three_projection_predictions_pct,any_focused_projection_pct,selector_chose_non_full_pct,selector_rejected_nonfull_pct,projection_audit_changed_pct,canonicalization_changed_pct,compound_override_changed_pct,final_from_tree_or_span_repair_pct,final_not_in_tree_pct,plan_answer_only_suspect_count,chosen_id_counts,audit_reason_top,canonical_modes,path
qwen3.5-9b,HotpotQA,500,75.6,64.2,8.8,61.36,100.0,100.0,100.0,65.8,99.6,99.6,93.2,94.6,9.8,0.8,5.6,2.0,0.6,100.0,0.0,0,"{'full': 451, 'focused_contract': 21, 'focused_evidence': 28}","[('no-two-projection-disagreement', 437), ('None', 62), ('audit-not-confident', 1)]",{'single-token-entity-expansion': 10},results/ldt/v62/hotpotqa_ldtv5_v62_triproj_terminalfix_q35_full500_w128.jsonl
qwen3.5-9b,2WikiMultiHopQA,500,84.0,68.6,4.4,45.45,100.0,100.0,100.0,65.6,100.0,100.0,86.4,87.0,4.6,1.6,0.8,0.6,0.0,100.0,0.0,0,"{'full': 477, 'focused_evidence': 18, 'focused_contract': 5}","[('no-two-projection-disagreement', 462), ('None', 32), ('audit-not-confident', 6)]",{'single-token-entity-expansion': 3},results/ldt/v62/2wikimultihopqa_ldtv5_v62_triproj_terminalfix_q35_full500_w128.jsonl
qwen3.5-9b,MuSiQue,500,75.8,54.4,19.4,68.04,100.0,100.0,100.0,31.4,98.2,98.2,81.4,82.2,18.6,4.2,4.4,2.0,2.0,100.0,0.0,0,"{'full': 407, 'focused_evidence': 50, 'focused_contract': 43}","[('no-two-projection-disagreement', 418), ('None', 67), ('audit-not-confident', 10)]",{'single-token-entity-expansion': 10},results/ldt/v62/musique_ldtv5_v62_triproj_terminalfix_q35_full500.jsonl
qwen3.5-9b,StrategyQA,500,95.8,95.8,0.2,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.2,0,{'full': 500},"[('no-two-projection-disagreement', 500)]",{},results/ldt/v62/strategyqa_ldtv5_v62_triproj_terminalfix_q35_full500_w128.jsonl
qwen3-8b,HotpotQA,500,73.0,61.2,6.0,66.67,100.0,100.0,100.0,90.0,100.0,100.0,98.8,98.8,3.4,0.4,0.8,2.0,1.0,99.8,0.2,0,"{'full': 483, 'focused_contract': 6, 'focused_evidence': 11}","[('no-two-projection-disagreement', 397), ('None', 97), ('audit-not-confident', 5)]",{'single-token-entity-expansion': 10},results/ldt/v62/hotpotqa_ldtv5_v62_triproj_terminalfix_q3_8b_full500_w128.jsonl
qwen3-8b,2WikiMultiHopQA,500,83.6,68.8,4.0,50.0,100.0,100.0,100.0,94.6,100.0,100.0,97.0,97.0,3.4,0.8,0.6,0.4,0.2,100.0,0.0,0,"{'full': 483, 'focused_contract': 6, 'focused_evidence': 11}","[('no-two-projection-disagreement', 426), ('None', 69), ('audit-not-confident', 5)]",{'single-token-entity-expansion': 2},results/ldt/v62/2wikimultihopqa_ldtv5_v62_triproj_terminalfix_q3_8b_full500_w128.jsonl
qwen3-8b,MuSiQue,500,63.8,46.8,13.6,38.24,100.0,100.0,100.0,60.8,99.8,99.8,97.4,97.4,13.6,3.0,2.0,0.8,0.8,100.0,0.0,0,"{'focused_evidence': 50, 'full': 432, 'focused_contract': 18}","[('no-two-projection-disagreement', 380), ('None', 101), ('audit-not-confident', 18)]",{'single-token-entity-expansion': 4},results/ldt/v62/musique_ldtv5_v62_triproj_terminalfix_q3_8b_full500_w128.jsonl
qwen3-8b,StrategyQA,500,93.0,93.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0,{'full': 500},"[('no-two-projection-disagreement', 500)]",{},results/ldt/v62/strategyqa_ldtv5_v62_triproj_terminalfix_q3_8b_full500_w128.jsonl
qwen2.5-14b,HotpotQA,500,72.8,57.0,14.4,54.17,100.0,100.0,100.0,59.4,100.0,100.0,93.6,93.6,16.8,2.8,5.0,1.6,0.2,100.0,0.0,0,"{'full': 416, 'focused_evidence': 62, 'focused_contract': 22}","[('no-two-projection-disagreement', 388), ('audit-not-confident', 83), ('None', 27)]",{'single-token-entity-expansion': 8},results/ldt/v62/hotpotqa_ldtv5_v62_triproj_terminalfix_q25_14b_full500_w128.jsonl
qwen2.5-14b,2WikiMultiHopQA,500,83.2,62.2,8.8,68.18,100.0,100.0,100.0,60.6,100.0,100.0,83.2,83.4,16.4,4.0,8.2,0.2,0.0,100.0,0.0,0,"{'full': 418, 'focused_evidence': 44, 'focused_contract': 38}","[('no-two-projection-disagreement', 394), ('audit-not-confident', 65), ('None', 41)]",{'single-token-entity-expansion': 1},results/ldt/v62/2wikimultihopqa_ldtv5_v62_triproj_terminalfix_q25_14b_full500_w128.jsonl
qwen2.5-14b,MuSiQue,500,65.0,40.4,19.4,62.89,100.0,100.0,100.0,23.2,99.4,99.4,76.8,77.0,19.2,6.2,3.2,1.4,0.4,100.0,0.0,0,"{'full': 404, 'focused_contract': 44, 'focused_evidence': 52}","[('no-two-projection-disagreement', 382), ('audit-not-confident', 99), ('None', 17)]",{'single-token-entity-expansion': 7},results/ldt/v62/musique_ldtv5_v62_triproj_terminalfix_q25_14b_full500_w128.jsonl
qwen2.5-14b,StrategyQA,500,94.0,94.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0,{'full': 500},"[('no-two-projection-disagreement', 500)]",{},results/ldt/v62/strategyqa_ldtv5_v62_triproj_terminalfix_q25_14b_full500_w128.jsonl
qwen3.5-9b,Macro,,82.8,70.75,8.2,,100.0,100.0,100.0,40.7,74.45,74.45,65.25,65.95,8.25,1.65,2.7,1.15,0.65,99.95,0.05,0,,,,
qwen3-8b,Macro,,78.35,67.45,5.9,,100.0,100.0,100.0,61.35,74.95,74.95,73.3,73.3,5.1,1.05,0.85,0.8,0.5,99.95,0.05,0,,,,
qwen2.5-14b,Macro,,78.75,63.4,10.65,,100.0,100.0,100.0,35.8,74.85,74.85,63.4,63.5,13.1,3.25,4.1,0.8,0.15,100.0,0.0,0,,,,
